"Объект","Мужчины и женщины","Мужчины","Женщины","мужчины в процентах","женщины в процентах"
"Надвоицкое городское поселение ","6,947","3,534","3,413","50.9","49.1"
"Городское население - пгт Надвоицы","6,070","2,990","3,080","49.3","50.7"
"Сельское население","877","544","333","62.0","38.0"
"Сегежское городское поселение  - городское население - г. Сегежа","23,543","10,554","12,989","44.8","55.2"
"Валдайское сельское поселение  - сельское население","802","389","413","48.5","51.5"
"Идельское сельское поселение  - сельское население","392","193","199","49.2","50.8"
"Поповпорожское сельское поселение  - сельское население","317","163","154","51.4","48.6"
"Чернопорожское сельское поселение  - сельское население","370","176","194","47.6","52.4"
"Сортавальский муниципальный район","24,121","10,705","13,416","44.4","55.6"
"Городское население","18,867","8,127","10,740","43.1","56.9"
"Сельское население","5,254","2,578","2,676","49.1","50.9"
"Вяртсильское городское поселение  - городское население - пгт Вяртсиля","2,104","900","1,204","42.8","57.2"
"Сортавальское городское поселение","18,102","7,950","10,152","43.9","56.1"
"Городское население","16,763","7,227","9,536","43.1","56.9"
"г. Сортавала","14,867","6,395","8,472","43.0","57.0"
"пгт Хелюля","1,896","832","1,064","43.9","56.1"
"Сельское население","1,339","723","616","54.0","46.0"
"Кааламское сельское поселение  - сельское население","2,166","1,035","1,131","47.8","52.2"
"Хаапалампинское сельское поселение  - сельское население","1,749","820","929","46.9","53.1"
"Суоярвский муниципальный район","13,078","5,901","7,177","45.1","54.9"
"Городское население","7,190","3,220","3,970","44.8","55.2"
"Сельское население","5,888","2,681","3,207","45.5","54.5"
"Суоярвское городское поселение  - городское население - г. Суоярви","7,190","3,220","3,970","44.8","55.2"
"Вешкельское сельское поселение  - сельское население","357","156","201","43.7","56.3"
"Лоймольское сельское поселение  - сельское население","1,526","712","814","46.7","53.3"
"Найстенъярвское сельское поселение  - сельское население","1,906","840","1,066","44.1","55.9"
"Поросозерское сельское поселение  - сельское население","2,099","973","1,126","46.4","53.6"
"Республика Коми","737,853","341,553","396,300","46.3","53.7"
"Городское население","571,578","261,469","310,109","45.7","54.3"
"Сельское население","166,275","80,084","86,191","48.2","51.8"
"Городской округ Сыктывкар","233,876","104,739","129,137","44.8","55.2"
"Городское население","233,128","104,389","128,739","44.8","55.2"
"г. Сыктывкар","220,580","98,662","121,918","44.7","55.3"
"внутригородские районы","","","","",""
"г.Сыктывкар без Эжвинского района","171,305","76,477","94,828","44.6","55.4"
"Эжвинский район","49,275","22,185","27,090","45.0","55.0"
"пгт Верхняя Максаковка","3,777","1,733","2,044","45.9","54.1"
"пгт Краснозатонский","7,436","3,372","4,064","45.3","54.7"
"пгт Седкыркещ","1,335","622","713","46.6","53.4"
"Сельское население","748","350","398","46.8","53.2"
